# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4629
#@/user_id	8153c35b-79e8-4496-b5ef-103168ff7e21
a 	啊	c=5 d=0.503807 t=4629
zhe li 	這裏	c=1 d=1 t=3821
zhe me duo 	這麼多	c=1 d=1 t=1829
zhe me duo nian 	這麼多年	c=1 d=1 t=2513
zhe shuo ming 	這說明	c=1 d=1 t=4058
zhe tai 	這臺	c=1 d=1 t=2668
zhe wei 	這位	c=1 d=1 t=2259
zhe xie 	這些	c=2 d=1.06489 t=3167
zhe xue 	哲學	c=1 d=1 t=850
zhe yang 	這樣	c=7 d=1.11965 t=3996
zhe yang de 	這樣的	c=1 d=1 t=2269
zhe yang de ren 	這樣的人	c=0 d=0.1 t=1295
zhe yang de ren ba 	這樣的人吧	c=1 d=1 t=1296
zhe yi 	這一	c=0 d=0.1 t=808
zhe yi bei zi 	這一輩子	c=1 d=1 t=2280
zhe yi dai 	這一代	c=1 d=1 t=2379
zhe yi nian 	這一年	c=0 d=0.1 t=2201
zhe yi nian duo 	這一年多	c=1 d=1 t=2202
zhe zhong 	這種	c=1 d=1 t=3573
zhen 	鎮	c=1 d=1 t=1421
zhen 	陣	c=0 d=0.198511 t=811
zhen ming 	真名	c=1 d=1 t=3067
zhen xiang 	真相	c=2 d=1.77105 t=1590
zhen zheng 	真正	c=1 d=1 t=1950
zheng chang 	正常	c=2 d=1.94649 t=3843
zheng fang xing 	正方形	c=1 d=1 t=3045
zheng ge 	整個	c=1 d=1 t=291
zheng shi ru ci 	正是如此	c=1 d=1 t=2174
zheng shu 	整數	c=1 d=1 t=3754
zheng xian 	正弦	c=4 d=3.63458 t=4015
zheng xing 	整形	c=1 d=1 t=3749
zheng zai 	正在	c=1 d=1 t=3460
zheng ze 	正則	c=6 d=1 t=4186
zheng zhi 	政治	c=3 d=1.01643 t=2838
zhi 	之	c=1 d=1 t=2652
zhi 	值	c=3 d=1.08107 t=4173
zhi 	只	c=1 d=1 t=1118
zhi 	智	c=5 d=1.00004 t=4038
zhi bo 	直播	c=2 d=1.99005 t=384
zhi chi 	支持	c=3 d=2.50116 t=4526
zhi chu 	之處	c=1 d=1 t=1081
zhi dao 	之道	c=0 d=0.1 t=2428
zhi ding 	制定	c=1 d=1.00002 t=1839
zhi ding hang 	制定行	c=1 d=1 t=115
zhi fang gan 	脂肪肝	c=1 d=1 t=681
zhi fu 	致富	c=1 d=1 t=1121
zhi guo 	之國	c=0 d=0.1 t=1796
zhi hu 	知乎	c=4 d=1.99501 t=4211
zhi jie 	直接	c=2 d=1.07692 t=3587
zhi kuai 	之快	c=1 d=1 t=2920
zhi nan 	指南	c=0 d=0.1 t=968
zhi neng 	只能	c=1 d=1 t=3525
zhi neng 	智能	c=4 d=1.02355 t=3524
zhi qian 	之前	c=1 d=1 t=2494
zhi shang 	智商	c=1 d=1 t=780
zhi shang 	至上	c=0 d=0.1 t=1135
zhi shang gao 	治伤膏	c=1 d=1 t=779
zhi shi 	知識	c=6 d=1.03173 t=2864
zhi shu 	指數	c=1 d=1 t=629
zhi shui 	只睡	c=1 d=1 t=944
zhi tu 	只圖	c=1 d=1 t=2918
zhi wu 	植物	c=0 d=0.1 t=2878
zhi xing 	執行	c=3 d=1.01769 t=4159
zhi xu 	秩序	c=1 d=1.0001 t=3171
zhi yao 	只要	c=1 d=1 t=1607
zhi ye 	職業	c=1 d=1 t=2158
zhi ye bing 	職業病	c=1 d=1.05123 t=968
zhi ye bing fang zhi zhi nan 	職業病防治指南	c=1 d=1 t=969
zhi you 	只有	c=2 d=1.07208 t=2959
zhi zhen 	指針	c=4 d=3.83171 t=2131
zhi zuo 	製作	c=1 d=1 t=3673
zhong 	中	c=8 d=1.38057 t=4028
zhong 	重	c=1 d=1 t=2484
zhong biao 	中標	c=1 d=1 t=4382
zhong da 	重大	c=0 d=0.1 t=1222
zhong guo 	中國	c=2 d=1.64082 t=1948
zhong jian 	中間	c=6 d=4.31779 t=3313
zhong jian jian 	中間件	c=1 d=1 t=3141
zhong jian zhi 	中间值	c=1 d=1 t=4005
zhong nian wei ji 	中年危机	c=1 d=1 t=753
zhong sheng xue xi 	終生學習	c=1 d=1 t=1189
zhong wen 	中文	c=6 d=1.98554 t=4401
zhong xue 	中學	c=1 d=1 t=3880
zhou er 	週二	c=1 d=1 t=881
zhou yi 	週一	c=1 d=1 t=877
zhu 	住	c=2 d=1.00006 t=2542
zhu ban 	主板	c=2 d=1.5599 t=583
zhu ci 	主次	c=0 d=0.1 t=765
zhu ci bu fen 	主次不分	c=1 d=1 t=766
zhu dong 	主動	c=1 d=1 t=4062
zhu he 	祝賀	c=1 d=1 t=4094
zhu ru 	注入	c=1 d=1 t=2868
zhu shi yan 	主視眼	c=1 d=1 t=2499
zhu shou 	助手	c=1 d=1 t=316
zhuan 	磚	c=1 d=1 t=3830
zhuan 	轉	c=3 d=1 t=3031
zhuan dong 	轉動	c=1 d=1 t=2559
zhuan du 	轉讀	c=1 d=1 t=4518
zhuan hua 	轉化	c=1 d=1 t=708
zhuan huan 	轉換	c=3 d=1 t=4496
zhuan jia 	專家	c=1 d=1 t=3080
zhuan wei 	轉爲	c=2 d=1.93239 t=4502
zhuan xing 	轉型	c=1 d=1 t=749
zhuan ye 	專業	c=4 d=1.00041 t=2892
zhuan zhou 	轉軸	c=1 d=1 t=2697
zhuan zhu 	專注	c=1 d=1 t=1491
zhuang 	裝	c=1 d=1 t=4198
zhuang ji 	裝機	c=1 d=1 t=2694
zhuang tai 	狀態	c=4 d=1.00017 t=4145
zhui jia 	追加	c=2 d=1.38098 t=3604
zhuo shi 	着實	c=1 d=1 t=2345
zhuo zi 	桌子	c=1 d=1 t=2210
zi 	子	c=4 d=1.96117 t=4277
zi 	自	c=2 d=1.99005 t=3382
zi ben shi chang 	資本市場	c=1 d=1 t=899
zi chan 	資產	c=8 d=6.28432 t=1651
zi chan jie ji 	資產階級	c=1 d=1 t=926
zi dan duan xin 	子弹短信	c=1 d=1 t=3767
zi ding yi 	自定義	c=2 d=1.45841 t=4372
zi dong 	自動	c=2 d=1.01145 t=4229
zi dong hua 	自動化	c=1 d=1 t=667
zi fu chuan 	字符串	c=14 d=1.82358 t=3781
zi ji 	自己	c=8 d=1.34948 t=3098
zi ji bu hao 	自己不好	c=1 d=1 t=2506
zi ji gan dong zi ji 	自己感动自己	c=1 d=1 t=935
zi ji nei xin 	自己內心	c=1 d=1 t=1588
zi jian 	自檢	c=2 d=1.91851 t=3863
zi jin 	資金	c=1 d=1 t=1477
zi ke 	自科	c=1 d=1 t=1933
zi lian 	自憐	c=1 d=1 t=949
zi liao 	資料	c=1 d=1 t=3729
zi ran ke xue 	自然科學	c=1 d=1 t=1905
zi ti 	字體	c=1 d=1 t=3055
zi wang 	子網	c=1 d=1 t=3944
zi xi 	仔細	c=1 d=1 t=3008
zi you shi jian 	自由时间	c=1 d=1 t=678
zi yuan 	資源	c=2 d=1.00006 t=2667
zong 	總	c=1 d=1 t=1468
zong he 	綜合	c=1 d=1 t=1415
zong jiao 	宗教	c=2 d=1.99501 t=1873
zong shi 	總是	c=1 d=1 t=2177
zong shu 	總數	c=1 d=1 t=4272
zong xiang 	縱向	c=0 d=0.1 t=415
zong xiang bian ji 	縱向編輯	c=1 d=1 t=416
zong zhi 	總之	c=1 d=1 t=3155
zou xiang 	走向	c=1 d=1 t=2362
zu 	組	c=20 d=18.9966 t=461
zu he 	組合	c=1 d=1 t=196
zu zhi 	組織	c=1 d=1 t=3088
zui 	最	c=0 d=0.1 t=79
zui di 	最低	c=1 d=1 t=1089
zui duo 	最多	c=0 d=0.1 t=882
zui duo jiu shi 	最多就是	c=1 d=1 t=883
zui hao de 	最好地	c=0 d=0.1 t=1835
zui hao de xuan ze 	最好地選擇	c=1 d=1 t=1836
zui hou 	最後	c=1 d=1 t=3567
zui jin 	最近	c=2 d=1.23224 t=2486
zui kuai 	最快	c=1 d=1 t=323
zui shao 	最少	c=1 d=1 t=3597
zui xiao hua 	最小化	c=1 d=1 t=435
zui xin 	最新	c=2 d=1.10435 t=545
zui xin ban ben 	最新版本	c=1 d=1 t=3672
zui zhong 	最終	c=3 d=1.16566 t=4012
zui zuo pai sheng 	最左派生	c=1 d=1 t=80
zuo 	作	c=1 d=1 t=3949
zuo 	做	c=8 d=3.61645 t=3139
zuo fa 	做法	c=1 d=1 t=3574
zuo jia 	作假	c=1 d=1 t=1435
zuo pai 	左派	c=0 d=0.1 t=79
zuo tu 	做圖	c=1 d=1 t=4213
zuo xi 	作息	c=1 d=1 t=964
zuo yan 	左眼	c=2 d=1.84789 t=2510
zuo yong 	作用	c=4 d=1.0027 t=4150
